flag_gems.ops.addmm.addmm, [shape info]: [-, 65536, 432, 1152](batch, M, N, K), [count]: 27
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 16, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 16, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 16, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 24, 4096, 1024], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 320, 4096, 1024], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 16, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 2560, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 4096, 1024], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 16, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 16, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 2560, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 8, 2560, 4096], [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 4096, 1024], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 4096, 1024], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 4096, 1024], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 16, 4096], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 2560, 4096], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 4096, 1024], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 16, 4096], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 2560, 4096], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 336, 4096, 1024], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 4096, 1024], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 2560, 4096], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 4096, 1024], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 16, 4096], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 8, 16, 4096], [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 1, 16, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 2560, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 16, 2560, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 16, 4096, 1024], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 2, 16, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 2560, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 4096, 1024], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 4096, 1024], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 2560, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 4096, 1024], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 2560, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 2560, 4096], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 4096, 1024], [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 208, 2560, 4096], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 24, 16, 4096], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 4096, 1024], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 4096, 1024], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 4, 2560, 4096], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 40, 2560, 4096], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 16, 4096], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 2560, 4096], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 4096, 1024], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 16, 4096], [count]: 1
flag_gems.ops.sigmoid.sigmoid, [shape info]: [-, 16, 2560, 4096], [count]: 1
flag_gems.ops.sum.sum_dim_out, [shape info]: [-, 16384, 2560, 4096], [count]: 1
flag_gems.ops.zeros_like.zeros_like, [shape info]: [-, 16384, 2560, 4096](batch, M, N, K), [count]: 2

